# ID, TIMESTAMP,,,,,
1,13,13,NULL,NULL,NULL,13
2,33,NULL,33,NULL,NULL,20
3,53,NULL,NULL,53,NULL,20
4,73,NULL,NULL,NULL,73,20
1,98,98,NULL,NULL,NULL,25
2,118,NULL,118,NULL,NULL,20
3,138,NULL,NULL,138,NULL,20
4,158,NULL,NULL,NULL,158,20
1,183,183,NULL,NULL,NULL,25
2,203,NULL,203,NULL,NULL,20
3,223,NULL,NULL,223,NULL,20
4,243,NULL,NULL,NULL,243,20
1,268,268,NULL,NULL,NULL,25
2,288,NULL,288,NULL,NULL,20
3,308,NULL,NULL,308,NULL,20
4,328,NULL,NULL,NULL,328,20
1,353,353,NULL,NULL,NULL,25
2,373,NULL,373,NULL,NULL,20
3,393,NULL,NULL,393,NULL,20
4,413,NULL,NULL,NULL,413,20
1,438,438,NULL,NULL,NULL,25
2,458,NULL,458,NULL,NULL,20
3,478,NULL,NULL,478,NULL,20
4,498,NULL,NULL,NULL,498,20
1,523,523,NULL,NULL,NULL,25
2,543,NULL,543,NULL,NULL,20
3,563,NULL,NULL,563,NULL,20
4,583,NULL,NULL,NULL,583,20
1,608,608,NULL,NULL,NULL,25
2,628,NULL,628,NULL,NULL,20
3,648,NULL,NULL,648,NULL,20
4,668,NULL,NULL,NULL,668,20
1,693,693,NULL,NULL,NULL,25
2,713,NULL,713,NULL,NULL,20
3,733,NULL,NULL,733,NULL,20
4,753,NULL,NULL,NULL,753,20
1,778,778,NULL,NULL,NULL,25
2,798,NULL,798,NULL,NULL,20
3,818,NULL,NULL,818,NULL,20
4,838,NULL,NULL,NULL,838,20
1,863,863,NULL,NULL,NULL,25
2,883,NULL,883,NULL,NULL,20
3,903,NULL,NULL,903,NULL,20
4,923,NULL,NULL,NULL,923,20
1,948,948,NULL,NULL,NULL,25
2,968,NULL,968,NULL,NULL,20
3,988,NULL,NULL,988,NULL,20
4,1008,NULL,NULL,NULL,1008,20
1,1033,1033,NULL,NULL,NULL,25
2,1053,NULL,1053,NULL,NULL,20
3,1073,NULL,NULL,1073,NULL,20
4,1093,NULL,NULL,NULL,1093,20
1,1118,1118,NULL,NULL,NULL,25
2,1138,NULL,1138,NULL,NULL,20
3,1158,NULL,NULL,1158,NULL,20
4,1178,NULL,NULL,NULL,1178,20
1,1203,1203,NULL,NULL,NULL,25
2,1223,NULL,1223,NULL,NULL,20
3,1243,NULL,NULL,1243,NULL,20
4,1263,NULL,NULL,NULL,1263,20
1,1288,1288,NULL,NULL,NULL,25
2,1308,NULL,1308,NULL,NULL,20
3,1328,NULL,NULL,1328,NULL,20
4,1348,NULL,NULL,NULL,1348,20
1,1373,1373,NULL,NULL,NULL,25
2,1393,NULL,1393,NULL,NULL,20
3,1413,NULL,NULL,1413,NULL,20
4,1433,NULL,NULL,NULL,1433,20
1,1458,1458,NULL,NULL,NULL,25
2,1478,NULL,1478,NULL,NULL,20
3,1498,NULL,NULL,1498,NULL,20
4,1518,NULL,NULL,NULL,1518,20
1,1539,1539,NULL,NULL,NULL,21
2,1560,NULL,1560,NULL,NULL,21
3,1580,NULL,NULL,1580,NULL,20
4,1600,NULL,NULL,NULL,1600,20
1,1625,1625,NULL,NULL,NULL,25
2,1650,NULL,1650,NULL,NULL,25
3,1671,NULL,NULL,1671,NULL,21
4,1692,NULL,NULL,NULL,1692,21
1,1713,1713,NULL,NULL,NULL,21
2,1738,NULL,1738,NULL,NULL,25
3,1759,NULL,NULL,1759,NULL,21
4,1780,NULL,NULL,NULL,1780,21
1,1805,1805,NULL,NULL,NULL,25
2,1825,NULL,1825,NULL,NULL,20
3,1845,NULL,NULL,1845,NULL,20
4,1865,NULL,NULL,NULL,1865,20
1,1886,1886,NULL,NULL,NULL,21
2,1912,NULL,1912,NULL,NULL,26
3,1933,NULL,NULL,1933,NULL,21
4,1954,NULL,NULL,NULL,1954,21
1,1975,1975,NULL,NULL,NULL,21
2,2000,NULL,2000,NULL,NULL,25
3,2021,NULL,NULL,2021,NULL,21
4,2042,NULL,NULL,NULL,2042,21
1,2063,2063,NULL,NULL,NULL,21
2,2088,NULL,2088,NULL,NULL,25
3,2109,NULL,NULL,2109,NULL,21
4,2130,NULL,NULL,NULL,2130,21
1,2151,2151,NULL,NULL,NULL,21
2,2176,NULL,2176,NULL,NULL,25
3,2197,NULL,NULL,2197,NULL,21
4,2218,NULL,NULL,NULL,2218,21
1,2239,2239,NULL,NULL,NULL,21
2,2264,NULL,2264,NULL,NULL,25
3,2285,NULL,NULL,2285,NULL,21
4,2306,NULL,NULL,NULL,2306,21
1,2327,2327,NULL,NULL,NULL,21
2,2352,NULL,2352,NULL,NULL,25
3,2373,NULL,NULL,2373,NULL,21
4,2394,NULL,NULL,NULL,2394,21
1,2415,2415,NULL,NULL,NULL,21
2,2440,NULL,2440,NULL,NULL,25
3,2461,NULL,NULL,2461,NULL,21
4,2482,NULL,NULL,NULL,2482,21
1,2503,2503,NULL,NULL,NULL,21
2,2528,NULL,2528,NULL,NULL,25
3,2549,NULL,NULL,2549,NULL,21
4,2570,NULL,NULL,NULL,2570,21
1,2591,2591,NULL,NULL,NULL,21
2,2616,NULL,2616,NULL,NULL,25
3,2637,NULL,NULL,2637,NULL,21
4,2658,NULL,NULL,NULL,2658,21
1,2679,2679,NULL,NULL,NULL,21
2,2704,NULL,2704,NULL,NULL,25
3,2725,NULL,NULL,2725,NULL,21
4,2746,NULL,NULL,NULL,2746,21
1,2767,2767,NULL,NULL,NULL,21
2,2792,NULL,2792,NULL,NULL,25
3,2813,NULL,NULL,2813,NULL,21
4,2834,NULL,NULL,NULL,2834,21
1,2855,2855,NULL,NULL,NULL,21
2,2880,NULL,2880,NULL,NULL,25
3,2901,NULL,NULL,2901,NULL,21
4,2922,NULL,NULL,NULL,2922,21
1,2943,2943,NULL,NULL,NULL,21
